contract_address,name,base_asset_id,base_asset_name,base_asset_symbol,base_asset_contract_address,quote_asset_id,quote_asset_name,quote_asset_symbol,quote_asset_contract_address,dex_id,dex_slug,network_id,network_slug,last_updated,created_at,price,volume_24h,percent_change_price_1h,percent_change_price_24h,liquidity,fully_diluted_value
55fBXF9tBYyS111XngD5h1jekNHGtGYL5nVkga3sUwPG,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1426,orca,16,Solana,2024-12-21T08:12:13.736Z,2024-12-17T06:49:10.000Z,0.030841649889279583,50189.64254158402,-0.0434234926,0.1482927153,160268.2092506312,2741478425.709224
7ohDR8LNjDNGsvLJKiScgHWn62imEiVR2yvQv1XWbHRy,PENGU/USDT,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22344279,USDT,USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,9882,meteora-vd,16,Solana,2024-12-21T07:53:14.764Z,2024-12-17T13:16:02.000Z,0.030706442940360387,48902.754487412756,-0.0393167031,0.1162001526,34334.222350661286,2729460037.10814
Ha4SGpJP9mBNcmvYDFCJD7bGbmHTx6mpzcC9XuqsikHJ,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,10403,raydium-cpmm,16,Solana,2024-12-21T08:06:41.657Z,2024-12-17T13:32:10.000Z,0.03114685322447042,37269.165141634665,-0.0118475251,0.1335372253,143927.10656487837,2768607595.5780196
6pLFuygN2yLg6fAJ4JRtdDfKaugcY51ZYK5PTjFZMa5s,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1426,orca,16,Solana,2024-12-21T07:54:58.378Z,2024-12-17T12:48:54.000Z,0.03091008800072046,36387.53103077476,-0.0273032563,0.129408123,77233.79712312532,2747561809.9213204
CLBnhiGTVnVRAjp8hrCvXq5Uzn2AuS3UanyKEnfrebPo,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-21T07:53:31.084Z,2024-12-17T12:46:22.000Z,0.031480003528411654,32509.490327054595,0.0,0.174696827,156959.52866398628,2798220939.0292344
E3aEUubQLeutdQCaYrcKopeenHJQa4r8EorRNZDKV18h,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-21T07:53:31.084Z,2024-12-17T13:00:30.000Z,0.031905274088759726,31545.702506500875,0.0,0.1819094957,91549.5598836035,2836022745.043794
CmcuSMXPgzMHbntQumG3cA1AEn4tPitc3E92sSBEKeDc,PENGU/Bonk,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22344303,Bonk,Bonk,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1426,orca,16,Solana,2024-12-21T08:06:36.148Z,2024-12-17T19:47:51.000Z,0.030986630752734366,31543.036386158514,-0.037475725,0.1063032647,160142.8141601035,2754365606.2176876
8gzfkRejVtUMTjGsuK5BmveCRKAvjgqwUQefLiBsouaz,PENGU/BOBAOPPA,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,25208266,Boba Oppa,BOBAOPPA,bobaM3u8QmqZhY1HwAtnvze9DLXvkgKYk3td3t8MLva,9883,meteora-vp,16,Solana,2024-12-21T08:12:04.150Z,2024-12-18T02:24:10.000Z,0.030942165272734978,27577.605394787402,-0.0230564504,0.1498116139,88681.43819647751,2750413121.3621516
FHgzkMKyqStet126iMEMh8eKgbB2YTTXWk5wWTzoToeR,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-21T07:41:06.527Z,2024-12-17T12:46:21.000Z,0.029348030491463433,25237.068149946284,0.0,0.0771490592,161547.78690970986,2608712332.7786026
GTquPtbDqSYbXmcCqrX7VpAQc4TtTbn59urazZS4WWwk,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-21T07:41:06.527Z,2024-12-17T13:14:51.000Z,0.03170594583914389,21501.24932497949,0.0,0.0854493336,104280.16974788715,2818304688.522241
